"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547082301
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","32 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547085902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","37 µg/m³","0h","Bona","27 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","35 µg/m³","0h","Bona","29 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547085902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","51 µg/m³","0h","Bona","18 µg/m³","0h","Bona","13 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","38 µg/m³","0h","Bona","22 µg/m³","1h","Bona","12 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","40 µg/m³","1h","Bona","25 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547085902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","32 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547089501
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","37 µg/m³","0h","Bona","27 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","35 µg/m³","0h","Bona","29 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547089501
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","51 µg/m³","0h","Bona","18 µg/m³","0h","Bona","13 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","38 µg/m³","0h","Bona","22 µg/m³","1h","Bona","12 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","40 µg/m³","1h","Bona","25 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547089501
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","32 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547093102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","37 µg/m³","0h","Bona","27 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","35 µg/m³","0h","Bona","29 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547093102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","51 µg/m³","0h","Bona","18 µg/m³","0h","Bona","13 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","38 µg/m³","0h","Bona","22 µg/m³","1h","Bona","12 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","40 µg/m³","1h","Bona","25 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547093102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","32 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547096701
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","37 µg/m³","0h","Bona","27 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","35 µg/m³","0h","Bona","29 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547096701
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","51 µg/m³","0h","Bona","18 µg/m³","0h","Bona","13 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","38 µg/m³","0h","Bona","22 µg/m³","1h","Bona","12 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","40 µg/m³","1h","Bona","25 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547096701
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","32 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547100301
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","37 µg/m³","0h","Bona","27 µg/m³","0h","Bona","23 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","35 µg/m³","0h","Bona","29 µg/m³",NA,NA,NA,"10/01/2019 1:00",1547100301
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","51 µg/m³","0h","Bona","18 µg/m³","0h","Bona","13 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","38 µg/m³","0h","Bona","22 µg/m³","1h","Bona","12 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","40 µg/m³","1h","Bona","25 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","10/01/2019 1:00",1547100301
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"7h","Bona","22 µg/m³",NA,NA,NA,"10/01/2019 8:00",1547103901
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"5h","Bona","50 µg/m³","5h","Bona","22 µg/m³","7h","Bona","24 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"7h","Bona","50 µg/m³","7h","Bona","29 µg/m³","7h","Bona","22 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"7h","Bona","61 µg/m³","7h","Bona","18 µg/m³",NA,NA,NA,"10/01/2019 8:00",1547103901
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"7h","Bona","55 µg/m³","7h","Bona","26 µg/m³","7h","Bona","13 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"7h","Bona","57 µg/m³","7h","Bona","12 µg/m³","7h","Bona","12 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"7h","Bona","37 µg/m³","7h","Bona","23 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"7h","Bona","75 µg/m³","7h","Bona","5 µg/m³","7h","Bona","12 µg/m³","10/01/2019 8:00",1547103901
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"8h","Bona","56 µg/m³",NA,NA,NA,"10/01/2019 9:00",1547107502
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"7h","--","--","7h","--","--","9h","Bona","23 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"8h","Bona","16 µg/m³","8h","Bona","68 µg/m³","9h","Bona","22 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"8h","Bona","35 µg/m³","8h","Bona","47 µg/m³",NA,NA,NA,"10/01/2019 9:00",1547107502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"8h","Bona","26 µg/m³","8h","Bona","56 µg/m³","9h","Bona","13 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"8h","Bona","43 µg/m³","8h","Bona","28 µg/m³","9h","Bona","12 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"8h","Bona","63 µg/m³","9h","Bona","23 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"8h","Bona","73 µg/m³","8h","Bona","7 µg/m³","9h","Bona","12 µg/m³","10/01/2019 9:00",1547107502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","71 µg/m³",NA,NA,NA,"10/01/2019 10:00",1547111101
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"9h","Bona","10 µg/m³","9h","Bona","66 µg/m³","10h","Bona","21 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"9h","Bona","21 µg/m³","9h","Bona","59 µg/m³","10h","Bona","21 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"9h","Bona","7 µg/m³","9h","Bona","76 µg/m³",NA,NA,NA,"10/01/2019 10:00",1547111101
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"9h","Bona","41 µg/m³","9h","Bona","38 µg/m³","10h","Bona","13 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"9h","Bona","35 µg/m³","9h","Bona","40 µg/m³","9h","Bona","12 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"9h","Bona","72 µg/m³","9h","Bona","23 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"9h","Bona","74 µg/m³","9h","Bona","5 µg/m³","9h","Bona","12 µg/m³","10/01/2019 10:00",1547111101
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"10h","Bona","52 µg/m³",NA,NA,NA,"10/01/2019 11:00",1547114702
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","23 µg/m³","10h","Bona","58 µg/m³","11h","Bona","20 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","39 µg/m³","10h","Bona","43 µg/m³","11h","Bona","20 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","21 µg/m³","10h","Bona","61 µg/m³",NA,NA,NA,"10/01/2019 11:00",1547114702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","59 µg/m³","10h","Bona","21 µg/m³","11h","Bona","13 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","51 µg/m³","10h","Bona","25 µg/m³","11h","Bona","12 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","65 µg/m³","11h","Bona","22 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"10h","Bona","76 µg/m³","10h","Bona","5 µg/m³","11h","Bona","12 µg/m³","10/01/2019 11:00",1547114702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","Bona","33 µg/m³",NA,NA,NA,"10/01/2019 12:00",1547118301
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"11h","Bona","26 µg/m³","11h","Bona","64 µg/m³","12h","Bona","20 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"11h","Bona","37 µg/m³","11h","Bona","44 µg/m³","12h","Bona","19 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"11h","Bona","53 µg/m³","11h","Bona","25 µg/m³",NA,NA,NA,"10/01/2019 12:00",1547118301
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"11h","Bona","56 µg/m³","11h","Bona","25 µg/m³","12h","Bona","13 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"11h","Bona","54 µg/m³","11h","Bona","17 µg/m³","12h","Bona","12 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"11h","Bona","38 µg/m³","12h","Bona","22 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"11h","Bona","70 µg/m³","11h","Bona","11 µg/m³","12h","Bona","12 µg/m³","10/01/2019 12:00",1547118301
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","Bona","30 µg/m³",NA,NA,NA,"10/01/2019 13:00",1547121902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"12h","Bona","28 µg/m³","12h","Bona","60 µg/m³","13h","Bona","20 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","38 µg/m³","12h","Bona","44 µg/m³","13h","Bona","19 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"12h","Bona","53 µg/m³","12h","Bona","25 µg/m³",NA,NA,NA,"10/01/2019 13:00",1547121902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"12h","Bona","60 µg/m³","12h","Bona","20 µg/m³","13h","Bona","13 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"12h","Bona","54 µg/m³","12h","Bona","20 µg/m³","13h","Bona","12 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"12h","Bona","41 µg/m³","12h","Bona","23 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"11h","Bona","70 µg/m³","11h","Bona","11 µg/m³","12h","Bona","12 µg/m³","10/01/2019 13:00",1547121902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"13h","Bona","18 µg/m³",NA,NA,NA,"10/01/2019 14:00",1547125501
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"13h","Bona","36 µg/m³","13h","Bona","54 µg/m³","14h","Bona","20 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","38 µg/m³","12h","Bona","44 µg/m³","14h","Bona","19 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"13h","Bona","61 µg/m³","13h","Bona","18 µg/m³",NA,NA,NA,"10/01/2019 14:00",1547125501
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"13h","Bona","72 µg/m³","13h","Bona","11 µg/m³","14h","Bona","12 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"13h","Bona","59 µg/m³","13h","Bona","13 µg/m³","14h","Bona","12 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"13h","Bona","27 µg/m³","14h","Bona","23 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"13h","Bona","76 µg/m³","13h","Bona","5 µg/m³","14h","Bona","12 µg/m³","10/01/2019 14:00",1547125501
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"14h","Bona","26 µg/m³",NA,NA,NA,"10/01/2019 15:00",1547129102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"14h","Bona","40 µg/m³","14h","Bona","49 µg/m³","14h","Bona","21 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","38 µg/m³","12h","Bona","44 µg/m³","14h","Bona","19 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"14h","Bona","67 µg/m³","14h","Bona","12 µg/m³",NA,NA,NA,"10/01/2019 15:00",1547129102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"14h","Bona","68 µg/m³","14h","Bona","16 µg/m³","15h","Bona","12 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"14h","Bona","56 µg/m³","14h","Bona","18 µg/m³","15h","Bona","13 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"14h","Bona","21 µg/m³","15h","Bona","24 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"14h","Bona","70 µg/m³","14h","Bona","13 µg/m³","15h","Bona","12 µg/m³","10/01/2019 15:00",1547129102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"15h","Bona","22 µg/m³",NA,NA,NA,"10/01/2019 16:00",1547132701
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"15h","Bona","47 µg/m³","15h","Bona","42 µg/m³","16h","Bona","21 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"14h","--","--","14h","--","--","16h","Bona","19 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"15h","Bona","65 µg/m³","15h","Bona","13 µg/m³",NA,NA,NA,"10/01/2019 16:00",1547132701
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"15h","Bona","70 µg/m³","15h","Bona","15 µg/m³","16h","Bona","12 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"15h","Bona","53 µg/m³","15h","Bona","24 µg/m³","16h","Bona","13 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"15h","Bona","20 µg/m³","16h","Bona","23 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"15h","Bona","71 µg/m³","15h","Bona","13 µg/m³","15h","Bona","12 µg/m³","10/01/2019 16:00",1547132701
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"16h","Bona","25 µg/m³",NA,NA,NA,"10/01/2019 17:00",1547136302
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"16h","Bona","44 µg/m³","16h","Bona","44 µg/m³","17h","Bona","20 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"15h","--","--","15h","--","--","17h","Bona","17 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"16h","Bona","64 µg/m³","16h","Bona","15 µg/m³",NA,NA,NA,"10/01/2019 17:00",1547136302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"16h","Bona","67 µg/m³","16h","Bona","17 µg/m³","17h","Bona","11 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"16h","Bona","53 µg/m³","16h","Bona","24 µg/m³","17h","Bona","12 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"16h","Bona","20 µg/m³","17h","Bona","21 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"16h","Bona","65 µg/m³","16h","Bona","20 µg/m³","17h","Bona","12 µg/m³","10/01/2019 17:00",1547136302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"17h","Bona","23 µg/m³",NA,NA,NA,"10/01/2019 18:00",1547139901
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"17h","Bona","26 µg/m³","17h","Bona","68 µg/m³","17h","Bona","21 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"15h","--","--","15h","--","--","17h","Bona","17 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"17h","Bona","59 µg/m³","17h","Bona","18 µg/m³",NA,NA,NA,"10/01/2019 18:00",1547139901
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","Bona","61 µg/m³","17h","Bona","23 µg/m³","17h","Bona","11 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"17h","Bona","49 µg/m³","17h","Bona","28 µg/m³","18h","Bona","12 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"17h","Bona","29 µg/m³","18h","Bona","22 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"17h","Bona","64 µg/m³","17h","Bona","21 µg/m³","18h","Bona","12 µg/m³","10/01/2019 18:00",1547139901
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"18h","Bona","36 µg/m³",NA,NA,NA,"10/01/2019 19:00",1547143502
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"18h","Bona","14 µg/m³","18h","Bona","82 µg/m³","19h","Bona","20 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"17h","--","--","17h","--","--","18h","Bona","17 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"18h","Bona","36 µg/m³","18h","Bona","42 µg/m³",NA,NA,NA,"10/01/2019 19:00",1547143502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"18h","Bona","40 µg/m³","18h","Bona","42 µg/m³","19h","Bona","11 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"18h","Bona","30 µg/m³","18h","Bona","51 µg/m³","19h","Bona","12 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"18h","Bona","52 µg/m³","19h","Bona","23 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"18h","Bona","60 µg/m³","18h","Bona","25 µg/m³","18h","Bona","12 µg/m³","10/01/2019 19:00",1547143502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","73 µg/m³",NA,NA,NA,"10/01/2019 20:00",1547147102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","5 µg/m³","19h","Bona","89 µg/m³","20h","Bona","21 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"18h","--","--","18h","--","--","18h","Bona","17 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","10 µg/m³","19h","Bona","77 µg/m³",NA,NA,NA,"10/01/2019 20:00",1547147102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"19h","Bona","17 µg/m³","19h","Bona","69 µg/m³","20h","Bona","11 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"19h","Bona","2 µg/m³","19h","Regular","95 µg/m³","20h","Bona","13 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","78 µg/m³","20h","Bona","24 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"19h","Bona","60 µg/m³","19h","Bona","25 µg/m³","20h","Bona","12 µg/m³","10/01/2019 20:00",1547147102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"20h","Bona","87 µg/m³",NA,NA,NA,"10/01/2019 21:00",1547150701
